File Path,Type,Responsibility,Imported by,Imports,Reachable from entry/router,Status
src/features/finance/pages/FinanceLedgerPage.jsx,ui/logic,features,src/app/routes/AuthRoutes.jsx,src/shared/components/Finance/FinanceFilters.jsx; src/shared/components/Finance/LedgerTable.jsx; src/shared/components/common/SectionHeader.jsx; src/shared/contexts/AlertContext.jsx; src/shared/contexts/LanguageContext.jsx; src/shared/services/api/finance.js,Yes,Active
src/features/home/components/ArticleCard.tsx,ui/logic,features,src/features/home/pages/HomePage.jsx; src/features/home/pages/PublicContentPage.jsx,src/shared/contexts/LanguageContext.jsx,Yes,Active
src/features/home/components/Breadcrumbs.tsx,ui/logic,features,src/features/home/pages/PublicContentPage.jsx,src/shared/contexts/LanguageContext.jsx,Yes,Active
src/features/home/components/CTABlock.tsx,ui/logic,features,src/features/home/pages/HomePage.jsx; src/features/home/pages/PublicContentPage.jsx,src/shared/contexts/LanguageContext.jsx,Yes,Active
src/features/home/components/HomeFooter.tsx,ui/logic,features,src/features/home/pages/HomePage.jsx; src/features/home/pages/PublicContentPage.jsx,src/assets/images/index.js; src/shared/contexts/LanguageContext.jsx; src/shared/contexts/ThemeContext.jsx,Yes,Active
src/features/home/components/HomeHeader.tsx,ui/logic,features,src/features/home/pages/HomePage.jsx; src/features/home/pages/PublicContentPage.jsx,src/assets/images/index.js; src/features/home/utils/smoothScroll.ts; src/shared/contexts/AuthContext.jsx; src/shared/contexts/LanguageContext.jsx; src/shared/contexts/ThemeContext.jsx,Yes,Active
src/features/home/components/IndustryCard.tsx,ui/logic,features,src/features/home/pages/HomePage.jsx; src/features/home/pages/PublicContentPage.jsx,src/shared/contexts/LanguageContext.jsx,Yes,Active
src/features/home/components/SectionHeading.tsx,ui/logic,features,src/features/home/pages/HomePage.jsx; src/features/home/pages/PublicContentPage.jsx,,Yes,Active
src/features/home/components/ServiceCard.tsx,ui/logic,features,src/features/home/pages/HomePage.jsx; src/features/home/pages/PublicContentPage.jsx,src/shared/contexts/LanguageContext.jsx,Yes,Active
src/features/home/components/StatBlock.tsx,ui/logic,features,,,No,Unused candidate
src/features/home/components/TeamCard.tsx,ui/logic,features,src/features/home/pages/HomePage.jsx; src/features/home/pages/PublicContentPage.jsx,src/shared/contexts/LanguageContext.jsx,Yes,Active
src/features/home/components/seo/SchemaMarkup.tsx,ui/logic,features,src/features/home/pages/HomePage.jsx; src/features/home/pages/PublicContentPage.jsx,,Yes,Active
src/features/home/content/publicPages.ts,ui/logic,features,src/features/home/pages/HomePage.jsx; src/features/home/pages/PublicContentPage.jsx,,Yes,Active
src/features/home/content/siteData.ts,ui/logic,features,src/features/home/pages/HomePage.jsx; src/features/home/pages/PublicContentPage.jsx,,Yes,Active
src/features/home/hooks/usePageMeta.ts,ui/logic,features,src/features/home/pages/HomePage.jsx; src/features/home/pages/PublicContentPage.jsx,,Yes,Active
src/features/home/pages/HomePage.jsx,ui/logic,features,src/app/App.tsx,src/features/home/components/ArticleCard.tsx; src/features/home/components/CTABlock.tsx; src/features/home/components/HomeFooter.tsx; src/features/home/components/HomeHeader.tsx; src/features/home/components/IndustryCard.tsx; src/features/home/components/SectionHeading.tsx; src/features/home/components/ServiceCard.tsx; src/features/home/components/TeamCard.tsx; src/features/home/components/seo/SchemaMarkup.tsx; src/features/home/content/publicPages.ts; src/features/home/content/siteData.ts; src/features/home/hooks/usePageMeta.ts; src/features/home/utils/smoothScroll.ts; src/shared/contexts/LanguageContext.jsx; src/shared/contexts/ThemeContext.jsx; src/shared/ui/accordion.tsx,Yes,Active
src/features/home/pages/PublicContentPage.jsx,ui/logic,features,src/app/App.tsx,src/features/home/components/ArticleCard.tsx; src/features/home/components/Breadcrumbs.tsx; src/features/home/components/CTABlock.tsx; src/features/home/components/HomeFooter.tsx; src/features/home/components/HomeHeader.tsx; src/features/home/components/IndustryCard.tsx; src/features/home/components/SectionHeading.tsx; src/features/home/components/ServiceCard.tsx; src/features/home/components/TeamCard.tsx; src/features/home/components/seo/SchemaMarkup.tsx; src/features/home/content/publicPages.ts; src/features/home/content/siteData.ts; src/features/home/hooks/usePageMeta.ts; src/shared/contexts/LanguageContext.jsx; src/shared/ui/accordion.tsx,Yes,Active
src/features/home/utils/smoothScroll.ts,ui/logic,features,src/features/home/components/HomeHeader.tsx; src/features/home/pages/HomePage.jsx,,Yes,Active
src/features/icons-gallery/components/CollectionTabs.tsx,ui/logic,features,src/features/icons-gallery/pages/IconsGalleryPage.tsx,,Yes,Active
src/features/icons-gallery/components/IconCard.tsx,ui/logic,features,src/features/icons-gallery/pages/IconsGalleryPage.tsx,src/shared/icons/lexicraft/index.tsx; src/shared/icons/lexicraft/manifest.ts,Yes,Active
src/features/icons-gallery/components/IconFilters.tsx,ui/logic,features,src/features/icons-gallery/pages/IconsGalleryPage.tsx,,Yes,Active
src/features/icons-gallery/pages/IconsGalleryPage.tsx,ui/logic,features,src/app/routes/AuthRoutes.jsx,src/features/icons-gallery/components/CollectionTabs.tsx; src/features/icons-gallery/components/IconCard.tsx; src/features/icons-gallery/components/IconFilters.tsx; src/shared/contexts/LanguageContext.jsx; src/shared/contexts/ThemeContext.jsx; src/shared/icons/lexicraft/manifest.ts,Yes,Active
src/features/lawyers/components/Lawyers/lawyerAddEdit.jsx,ui/logic,features,src/features/lawyers/pages/LawyerList.jsx,src/assets/icons/index.js; src/shared/components/common/MainCard.jsx; src/shared/services/api/axiosConfig.js,Yes,Active
